,Terms per Topic
Topic1,"war, während, spät, konnt, polit, ab, kam, august, mai, hatte, partei, mehr, april, märz, juli, juni, arme, regier, tag, oktob"
Topic2,"gemeind, ort, liegt, ortsteil, gehört, jahrhundert, sowi, wapp, befindet, einwohn, teil, dorf, gemeindegebiet, landkreis, st, gibt, heut, bad, urkund, kam"
Topic3,"werden, könn, möglich, ist, mehr, wird, verwendet, dabei, gibt, sind, weit, unterschied, bestimmt, beim, bzw, verschied, meist, regel, kann, besond"
Topic4,"spiel, saison, beim, fc, mannschaft, tor, gewann, konnt, zwei, verein, spielt, platz, zweit, erzielt, train, letzt, kam, drei, team, bundesliga"
Topic5,"mitglied, vorsitz, gewählt, partei, bundestag, polit, amt, stellvertret, an, spd, cdu, trat, gehört, oktob, wahl, novemb, ab, tätig, deutsch bundestag, bundestagswahl"
Topic6,"the, band, album, of, veröffentlicht, erschi, singl, song, platz, neu, musik, lied, titel, spielt, auf, weit, nam, and, erreicht, erfolg"
Topic7,"landkreis, kreis, provinz, kreisgebiet, gemeind, januar, neu, regierungsbezirk, preussisch, städt, gebiet, teil, stadt, gehört, juli, april, preuss, gutsbezirk, aufgelöst, landgemeind"
Topic8,"streck, betrieb, ab, bahnhof, neu, werden, bau, bahn, zwei, abschnitt, führt, lang, verkehr, lini, konnt, züg, dezemb, richtung, fahrzeug, bad"
Topic9,"deutsch, deutschland, weltkrieg, reich, verein, international, sprach, deutsch reich, bund, pol, zweit weltkrieg, teil, polnisch, österreich, für deutsch, bundesrepubl, zweit, staat, recht, luxemburg"
Topic10,"art, meist, etwa, gross, lang, klein, gattung, zwei, teil, weit, tier, selt, wenig, mehr, viel, heut, drei, gibt, sowi, sind"
Topic11,"berlin, ddr, ab, strass, friedrich, brandenburg, bezirk, neu, platz, leipzig, preussisch, wilhelm, ehemal, zeitung, august, juni, gross, der, gebäud, april"
Topic12,"stadt, jahrhundert, teil, liegt, sowi, gross, stadtteil, befindet, heut, burg, einwohn, errichtet, zeit, städt, nam, bedeut, während, weit, etwa, mehr"
Topic13,"film, roll, spielt, best, der, die, the, regisseur, erhielt, schauspiel, regi, hauptroll, seh, award, bekannt, new, spät, auf, zwei, neb"
Topic14,"neu, unternehm, sowi, ag, weit, gmbh, deutschland, euro, million, gegründet, übernahm, international, rund, mehr, schweiz, eig, end, prozent, nam, ab"
Topic15,"universität, werk, spät, zeit, ab, arbeit, wissenschaft, johann, vat, kind, frau, bekannt, der, war, leb, arbeitet, famili, erhielt, tod, alt"
Topic16,"de, la, französ, paris, de la, frankreich, spanisch, könig, spani, san, del, provinz, portugies, le, portugal, santa, ludwig, insel, el, napoleon"
Topic17,"kirch, evangel, jahrhundert, kathol, luther, neu, st, bischof, heilig, papst, landeskirch, klost, evangel kirch, evangelisch-luther, heut, kirchlich, johann, orthodox, christi, entstand"
Topic18,"könig, friedrich, ii, kais, sohn, heinrich, herzog, tod, karl, wilhelm, schloss, johann, ludwig, iii, graf, vat, war, tocht, brud, iv"
Topic19,"wien, österreich, salzburg, franz, kais, leopold, tirol, niederösterreich, albrecht, jänn, teil, land, iv, habsburg, josef, donau, international, maria, övp, zweit"
Topic20,"ist, zahl, gilt, funktion, formula_1, meng, element, grupp, zwei, punkt, heisst, beid, beispiel, sind, genau, lässt, formula_2, reih, bezeichnet, gleich"
